Id                                  Versions                                 ProjectName                                                                                                  
--                                  --------                                 -----------                                                                                                  
Antlr                               {3.4.1.9004}                             ContosoUniversity                                                                                            
bootstrap                           {3.0.0}                                  ContosoUniversity                                                                                            
EntityFramework                     {6.2.0}                                  ContosoUniversity                                                                                            
jQuery                              {1.10.2}                                 ContosoUniversity                                                                                            
jQuery.Validation                   {1.11.1}                                 ContosoUniversity                                                                                            
Microsoft.AspNet.Identity.Core      {2.1.0}                                  ContosoUniversity                                                                                            
Microsoft.AspNet.Identity.Entity... {2.1.0}                                  ContosoUniversity                                                                                            
Microsoft.AspNet.Identity.Owin      {2.1.0}                                  ContosoUniversity                                                                                            
Microsoft.AspNet.Mvc                {5.2.2}                                  ContosoUniversity                                                                                            
Microsoft.AspNet.Razor              {3.2.2}                                  ContosoUniversity                                                                                            
Microsoft.AspNet.Web.Optimization   {1.1.3}                                  ContosoUniversity                                                                                            
Microsoft.AspNet.WebPages           {3.2.2}                                  ContosoUniversity                                                                                            
Microsoft.jQuery.Unobtrusive.Val... {3.2.2}                                  ContosoUniversity                                                                                            
Microsoft.Owin                      {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Host.SystemWeb       {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security             {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security.Cookies     {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security.Facebook    {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security.Google      {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security.Microsof... {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security.OAuth       {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Owin.Security.Twitter     {3.0.0}                                  ContosoUniversity                                                                                            
Microsoft.Web.Infrastructure        {1.0.0.0}                                ContosoUniversity                                                                                            
Modernizr                           {2.6.2}                                  ContosoUniversity                                                                                            
Newtonsoft.Json                     {6.0.4}                                  ContosoUniversity                                                                                            
Owin                                {1.0}                                    ContosoUniversity                                                                                            
Respond                             {1.2.0}                                  ContosoUniversity                                                                                            
WebGrease                           {1.5.2}                                  ContosoUniversity  
